"index","type_of_reference","title","id","pub_title","start_page","end_page","pub_year","keywords","place_published","unknown_tag","authors","volume","url","number","issn","publisher"
"13","JOUR","A long-term study of seedling regeneration for an oak forest restoration in Cleveland Metroparks Brecksville Reservation, Ohio","889","Biodiversity and Conservation","2397","2418","2005","['Burning, Canopy opening, Gypsy moth, Oak forest, Regeneration, Restoration, Thinning, maple, Acer saccharum, American beech, Fagus grandifolia, honeysuckle, Lonicera,', 'Quercus, white-tailed deer, Odocoileus virginianus, Lymantria dispar,']","","defaultdict(<class 'list'>, {'U1': ['889']})","Sekura, L.; Mal, T.; Dvorak, D.","14","","","",""
"14","JOUR","A note on the potential role of philopatry and conspecific attraction as conservation tools in Audouin's gull Larus audouinii","945","Bird Conservation International","143","147","2001","['Audouinâ€™s gull, Aves, bird, breeding behaviour, captive breeding, captive-reared, conspecific attraction, imprinting, Laridae, Larus audouinii, nest site selection, philopatry, seabird']","","defaultdict(<class 'list'>, {'U1': ['945']})","Martínez Abraín, A.; Viedma, C.; Ramón, N.; Oro, D.","11","","","",""
"15","JOUR","A field experiment to recreate species rich hay meadows using regional seed mixtures","1087","Biological Conservation","297","305","2007","['seed mixtures, meadow restoration, grassland management, hay meadow, natural regeneration, common rockrose, Helianthemum nummularium, brown knapweed, Centaurea jacea, ribwort plantain, Plantago lanceolata, hedge bedstraw Galium album, selfheal, Prunella vulgaris, upright brome, Bromus erectus, Festuca rupicola, red fescue, Festuca rubra']","","defaultdict(<class 'list'>, {'U1': ['1087']})","Jongepierova, I.; Mitchley, J.; Tzanopoulos, J.","139","","","",""
"16","JOUR","A nest box for ancient murrelets","1142","Colonial Waterbirds","116","120","1996","['Nest box, nest-box, nestbox, ancient murrelet, Synthliboramphus antiquus, nest site selection, predation, artificial nest, Aves, birds, breeding biology, Alcidae, auk, bird']","","defaultdict(<class 'list'>, {'U1': ['1142']})","Gaston, A.","19","","","",""
"17","JOUR","A comparison of the characteristics and fate of Barrow's goldeneye and bufflehead nests in nest boxes and natural cavities","1186","The Condor","610","619","2002","[""Barrow's goldeneye, Bucephala islandica, bufflehead, Bucephala albeola, pileated woodpecker, Dryocopus pileatus, natural cavities, nest success, breeding success, predation, nest sites, cavity-nesting birds, nest box, nestbox, nest-box, Aves, bird, Anatidae, duck, black bear, Ursus americanus, starling, Sturnus vulgaris, American red squirrel, Tamiasciurus hudsonicus, American pine marten, Martes americana""]","","defaultdict(<class 'list'>, {'U1': ['1186']})","Evans, M.; Lank, D.; Boyd, S.; Cooke, F.","104","","","",""
"18","JOUR","A control taste aversion experiment on predators of roseate tern (Sterna dougallii) eggs","1190","European Journal of Wildlife Research","259","264","2006","['Egg predation, European starling, Sturnus vulgaris, Control taste aversion, Methiocarb, Yellow-legged gull, Larus michahellis, roseate tern, Sterna dougallii, seabird, laridae, Aves, bird, raven, Corvus corax, California least tern, Sterna antillarum browni, common tern, Sterna hirundo']","","defaultdict(<class 'list'>, {'U1': ['1190']})","Neves, V.C.; Panagiotakopoulos, S.; Furness, R.W.","52","","","",""
"19","JOUR","A comparison of the breeding ecology of birds nesting in boxes and tree cavities","1200","The Auk","646","656","1997","['western bluebird, Sialia mexicana, plain titmouse, Parus inornatus, oak titmouse, Baeolophus inornatus, house wren, Troglodytes aedon, ash-throated flycatcher, Myiarchus cinerascens, nest-site selection, clutch size, breeding ecology, nesting success, natural cavities, tree cavities, cavity-nesting birds, nest box, nestbox, nest-box, Aves, bird, Troglodytidae, Paridae, Turdidae, Tyrannidae, passerine']","","defaultdict(<class 'list'>, {'U1': ['1200']})","Purcell, K.; Verner, J.; Oring, L.","114","","","",""
"20","JOUR","A negative response of kestrels Falco tinnunculus to nestboxes in upland forests","1208","Bird Study","194","195","1985","['Aves, bird, common kestrel, common redstart, Eurasian kestrel, Falco tinnunculus, Falconidae, forestry, nest box uptake, nest-box occupancy, nestbox occupation, nest site, orientation, Phoenicurus phoenicurus, raptor']","","defaultdict(<class 'list'>, {'U1': ['1208']})","Petty, S.J.","32","","","",""
"21","JOUR","A comparison of Riley encased methodology and traditional techniques for planting red mangroves (Rhizophora mangle)","1262","Mangroves and Salt Marshes","215","225","1999","['Red mangroves, restoration, Rhizophora mangle, planting techniques, wetlands,']","","defaultdict(<class 'list'>, {'U1': ['1262']})","Salgado Kent, C.P.","3","","","",""
"22","JOUR","A comparison of the breeding ecology of collared flycatchers nesting in boxes and natural cavities","1383","Journal of Field Ornithology","293","299","2003","['Aves, bird, breeding success, chick mortality, clutch size, collared flycatcher, egg loss, Ficedula albicollis, fledging success, hatching success, laying date, Muscicapidae, natural nest-sites, nest box provision, nest-box, nestbox, nest predation, nestling loss, reproductive success']","","defaultdict(<class 'list'>, {'U1': ['1383']})","Mitrus, C.","74","","","",""
"23","JOUR","A long-term study of the breeding success of eastern bluebirds by year and cavity type","1423","Journal of Field Ornithology","7","18","1997","['artificial nest cavities, Aves, bird, breeding success, chick survival, clutch size, eastern bluebird, hatching success, nest box, nest-box provision, nestbox design, nest predation, nestling survival, nesting success, reproductive success, Sialia sialis, Turdidae']","","defaultdict(<class 'list'>, {'U1': ['1423']})","Radunzel, L.A.; Muschitz, D.M.; Bauldry, V.M.; Arcese, P.","68","","","",""
"24","JOUR","A beetle fauna of oolitic limestone grassland, and the responses of species to conservation management by different cutting regimes","1559","Biological Conservation","87","105","1987","['Staphylinidae, Carabidae, Chrysomelidae, Curculionidae, Coleoptera, Insecta, calcareous grassland management, cutting']","","defaultdict(<class 'list'>, {'U1': ['1559']})","Morris, M.G.; Rispin, W.E.","43","","","",""
"25","JOUR","A method for reducing illegal removal of eggs from raptor nests","1593","Emu","","","1982","['Accipitridae, Aquila audax, Aves, bird, breeding success, egg collection, egg collector, egg marking, Falco peregrinus, Falconidae, hatching success, nesting success, peregrine falcon, raptors, wedge-tailed eagle']","","defaultdict(<class 'list'>, {'U1': ['1593']})","Olsen, J.; Billett, T.; Olsen, P.","82","","","",""
"26","JOUR","A new method for starting bumblebee colonies","1693","Agromony Journal","218","219","1952","['Insecta, Hymenoptera, Apoidea, Apiformes, pollinator, bee, bumblebee, bombus, nest box, nest-box, nestbox, buff-tailed bumblebee, Bombus terrestris, tree bumblebee, Bombus hypnorum, red-tailed bumblebee, Bombus lapidarius, captive rearing, egg-laying, colony formation, confinement, queens, pollen, pollen dough, Apis mellifera, honey bee']","","defaultdict(<class 'list'>, {'U1': ['1693']})","Hasselrot, T.B.","44","","","",""
"27","JOUR","A century of advances in bumblebee domestication and the economic and environmental aspects of its commercialization for pollination","1699","Apidologie","421","451","2006","['Insecta, Hymenoptera, Apoidea, Apiformes, pollinator, bee, bumblebee, bombus, nest box, nest-box, nestbox, captive rearing, egg-laying, colony formation, CO2 anaesthetic, hibernation, diapause, Brassica, Prunus, pollen, buff-tailed bumblebee, Bombus terrestris, white-tailed bumblebee, Bombus lucorum, Bombus ignitus, common eastern bumblebee, Bombus impatiens, western bumblebee, Bombus occidentalis, Bacillus thuringiensis, pollen-storers']","","defaultdict(<class 'list'>, {'U1': ['1699']})","Velthuis, H.H.W.; van Doorn, A.","37","","","",""
"28","JOUR","A candidate legume pollinator, Osmia sanrafaelae Parker (Hymenoptera: Megachilidae)","1733","Journal of Apicultural Research","132","136","1985","['Insecta, Hymenoptera, Apoidea, Apiformes, pollinator, bee, solitary bee, Megachilidae, leafcutter bee, captive rearing, nest box, nestbox, nest-box, San Rafael Desert bee, Osmia sanrafaelae, evening primrose, Oenothera hookeri, cage, alfalfa, Medicago sativa']","","defaultdict(<class 'list'>, {'U1': ['1733']})","Parker, F.D.","24","","","",""
"29","JOUR","A comparison of bird communities in burned and salvage-logged, clearcut, and forested Florida sand pine scrub","1805","The Wilson Bulletin","40","54","1995","['Aphelocoma coerulescens, Aves, bird, bracke seeding, broadcast seeding, burning, clear-cutting, Corvidae, density, early successional habitat, eastern towhee, Emberizidae, Florida scrub-jay, forest management, Pinus clausa, Pipilo erythrophthalmus, roller chopping, rufous-sided towhee, salvage logging, sand pine scrub, scrub jay, soil disturbance, species richness, wildfire']","","defaultdict(<class 'list'>, {'U1': ['1805']})","Greenberg, C.H.; Harris, L.D.; Neary, D.G.","107","","","",""
"30","JOUR","30 years of vegetal change following burning of sagebrush-grass range","1972","Journal of Range Management","322","325","1973","['big sagebrush, Artemisia tridentata, shrubland management, grassland management, fire, prescribed burning, sheep grazing, forage availability, livestock grazing, rabbitbrush Chrysothamnus viscidiflorus and horsebrush Tetradymia canescens, thickspike wheatgrass, Agropyron dasystachyum, plains reedgrass, Calamagrostis  montanensis, bluebunch wheatgrass, Agropyron spicatum, Idaho fescue, Festuca idahoensis, bluegrass, Poa secunda, Poa nevadensis']","","defaultdict(<class 'list'>, {'U1': ['1972']})","Harniss, R.O.; Murray, R.B.","26","https://journals.uair.arizona.edu/index.php/jrm/article/viewFile/6224/5834","","",""
"31","JOUR","A dedicated reserve for conservation of two species of Synemon (Lepidoptera: Castniidae) in Australia","2008","Journal of Insect Conservation","221","228","2004","['Insecta, Lepidoptera, butterfly, moth, sun-moth, Castniidae, Synemon, Synemon plana, synemon selene, golden sun-moth, pale sun-moth, endangered, critically endangered, land acquisition, multiple land holdings, regional planning, shire council, Hindmarsh Shire Council, local authority, designation, protected area, reserve']","","defaultdict(<class 'list'>, {'U1': ['2008']})","Douglas, F.","8","","","",""
"32","JOUR","A comparison of the passerine avifaunas of a rehabilitated minesite and a nearby reserve in south-western Australia","2069","Emu","305","311","2002","['Aves, bird, spinebill, honeyeater, nectarivore, insectivore, western spinebill, Acanthorynchus superciliosus, Banksia woodland, mine spoil reclamation, woodland restoration, minesite']","","defaultdict(<class 'list'>, {'U1': ['2069']})","Comer, S.J.; Wooller, R.D.","102","","","",""
"33","JOUR","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","2835","Agricultural and Forest Entomology","147","154","2004","","","defaultdict(<class 'list'>, {'U1': ['2835']})","MacLeod, A.; Wratten, S.D.; Sotherton, N.W.; Thomas, M.B.","6","","2","",""
"34","JOUR","A cross-fostering experiment with Newell's race of Manx shearwater","3229","The Journal of Wildlife Management","163","168","1984","","","defaultdict(<class 'list'>, {'U1': ['3229']})","Byrd, G.V.; Sincock, J.L.; Telfer, T.C.; Moriarty, D.I.; Brady, B.G.","48","","1","0022541X",""
"35","JOUR","A future for rare arable plants","3511","Aspects of Applied Biology","175","182","2007","","","defaultdict(<class 'list'>, {'U1': ['3511']})","Still, K.S.","81","","","",""
"36","JOUR","A farm-scale evaluation of the influence of hedgerow cutting frequency on hawthorn (Crataegus monogyna) berry yields","3516","Agriculture, Ecosystems & Environment","437","439","2002","","","defaultdict(<class 'list'>, {'U1': ['3516']})","Croxton , P. J.; Sparks, T. H.","93","","","",""
"37","JOUR","A 12-year study of nest box utilization by black-bellied whistling ducks","3697","The Journal of Wildlife Management","936","943","1979","","","defaultdict(<class 'list'>, {'U1': ['3697']})","McCamant, R.E.; Bolen, E.G.","43","","","",""
"38","JOUR","A Method of Food Supplementation for Ground-Foraging Insectivorous Songbirds / Método para suplementar con alimentos aves insectívoras que forrajean en los suelos","3772","Journal of Field Ornithology","296","302","2004","","","defaultdict(<class 'list'>, {'U1': ['3772']})","Podolsky, A.L.; Simons, T.R.; Collazo, J.A.","75","","","",""
"39","JOUR","A note on the 1997 survey of the translocated Ultramarine Lory Vini ultramarina population on Fatu Hiva, Marquesas Islands, French Polynesia","3800","Bird COnservation International","291","292","1997","","","defaultdict(<class 'list'>, {'U1': ['3800']})","Lieberman, A.; Kuehler, C.; Varney, A.; Sulpice, R.M.; Tehevini, B.","7","","","",""
"40","JOUR","A comparison of different bat box types by bat occupancy in deciduous woodland, Buckinghamshire, UK","4028","Conservation Evidence","24","28","2013","","","defaultdict(<class 'list'>, {'U1': ['4028']})","Dodds, M.; Bilston, H.","10","","","1758-2067",""
"41","JOUR","A comparison of four processing tomato production systems differing in cover crop and chemical inputs","4095","Journal of the American Society for Horticultural Science","559","568","1996","","","defaultdict(<class 'list'>, {'U1': ['4095']})","Creamer, N.G.; Bennett, M.A.; Stinner, B.R.; Cardina, J.","121","http://journal.ashspublications.org/content/121/3/559.short","","0003-1062",""
"42","JOUR","A comparison of nutrient losses following grassland improvement using two different techniques in an upland area of mid-Wales","4235","Soil Use and Management","174","179","1989","['Clay soil']","","defaultdict(<class 'list'>, {'U1': ['4235']})","Roberts, A.M.; Hudson, J.A.; Roberts, G.","5","http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.1989.tb00780.x/pdf","4","",""
"43","JOUR","A lysimeter study of nitrate leaching from grazed grassland as affected by a nitrification inhibitor, dicyandiamide, and relationships with ammonia oxidizing bacteria and archaea","4270","Soil Use and Management","454","461","2009","['Pallic Orthic Brown Soil, Udic Haplustept, loamy soil, dicyandiamide, nitrification inhibitor']","","defaultdict(<class 'list'>, {'U1': ['4270']})","Di, H. J.; Cameron, K. C.; Shen, J. P.; He, J. Z.; Winefield, C. S.","25","http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2009.00241.x/pdf","4","",""
"44","JOUR","A long term trial with Atlantic salmon (Salmo salar L.) fed genetically modified soy; focusing general health and performance before, during and after the parr–smolt transformation","4755","Aquaculture","108-117","","2009","","","defaultdict(<class 'list'>, {'U1': ['4755']})","Sissener, N.H.; Sanden, M.; Bakke, A.M.; Krogdahl, Å; Hemre, G.I.","294","","","00448486",""
"45","JOUR","40 years of natterjack toad conservation in Europe","4804","Froglog","40-43","","2012","","","defaultdict(<class 'list'>, {'U1': ['4804']})","Beebee, T.; Cabido, C.; Eggert, C.; Mestre, I.G.; Iraola, A.; Garin-Barrio, I.; Griffiths, R.A.; Miaud, C.; Oromi, N.; Sanuy, D.; Sinsch, U.; Tejedo, M.","101","http://www.amphibians.org/froglog/fl101/","","",""
"46","RPRT","2010 Overview","4891","","","","2010","","","defaultdict(<class 'list'>, {'U1': ['4891']})","FrogWatch USA, .","","","","","Association of Zoos & Aquariums"
"47","RPRT","A literature review of the effects of roads on amphibians and reptiles and the measures used to minimize those effects","4935","","79","","2004","","","defaultdict(<class 'list'>, {'U1': ['4935']})","Jochimsen, D.M.; Peterson, C.R.; Andrews, K.M.; WhitfieldGibbons, J.","","","","","Idaho Fish and Game Department and USDA Forest Service"
"48","JOUR","A biodiversity assessment of compensatory mitigation wetlands in eastern South Dakota","4940","Proceedings of the South Dakota Academy of Science","185-200","","2001","","","defaultdict(<class 'list'>, {'U1': ['4940']})","Juni, S.; Berry, C.R.","80","https://sdaos.org/wp-content/uploads/pdfs/2001/2001Vol80.pdf#page=191","","",""
"49","JOUR","A conservation program for Atelopus species at the Cali Zoo, Colombia","5092","Amphibian Ark Newsletter","7","","2012","","","defaultdict(<class 'list'>, {'U1': ['5092']})","Silva, C.","19","http://www.amphibianark.org/news/aark-newsletter/","","",""
"50","JOUR","‘State of the nation’ report on New Zealand translocations including a quick overview of past translocations","5114","Froglog","39-40","","2011","","","defaultdict(<class 'list'>, {'U1': ['5114']})","Tocher, M.","99","http://www.amphibians.org/froglog/fl099/","","",""
"51","JOUR","A note on the captive maintenance and breeding of the Pyrenean mountain salamander (Euproctus asper asper Dugès)","5150","Herpetological Society Bulletin","46-47","","1982","","","defaultdict(<class 'list'>, {'U1': ['5150']})","Wisniewski, P.J.; Paull, L.M..","6","","","",""
"52","JOUR","A comparison of logging systems and bat diversity in the Neotropics","5389","Conservation Biology","1194","1204","2005","","","defaultdict(<class 'list'>, {'U1': ['5389']})","Clarke, F.M.; Pio, D.V.; Racey, P.A.","19","http://dx.doi.org/10.1111/j.1523-1739.2005.00086.x-i1","4","1523-1739",""
"53","JOUR","A large-scale mitigation experiment to reduce bat fatalities at wind energy facilities","5464","The Journal of Wildlife Management","1077-1081","","2009","","","defaultdict(<class 'list'>, {'U1': ['5464']})","Baerwald, E.F.; Edworthy, J.; Holder, M.; Barclay, R.M.R.","73","http://www.jstor.org/stable/20616764","7","1937-2817",""
"54","JOUR","A field evaluation of a trap for invasive American bullfrogs","5514","Pacific Conservation Biology","285","291","2011","","","defaultdict(<class 'list'>, {'U1': ['5514']})","Snow, N.P.; Witmer, G.W.","17","","","",""
"55","JOUR","A comparison between the impacts of ploughing and minimum tillage on arable plant assemblages at Ranscombe Farm Reserve, Kent, UK","5566","Conservation Evidence","33","37","2016","","","defaultdict(<class 'list'>, {'U1': ['5566']})","Moyse, R.I.; Shellswell, C.","13","","","",""
"56","JOUR","A comparison of the effects of different shelterwood harvest methods on the survival and growth of acorn-origin oak seedlings","5619","Canadian Journal of Forest Research","2359-2374","","2011","","","defaultdict(<class 'list'>, {'U1': ['5619']})","Brose, P.H.","41","http://www.nrcresearchpress.com/doi/abs/10.1139/x11-143#.UxggzvmSxe8","","0045-5067",""
"57","JOUR","A comparison of herbicide and mulch mat treatments for reducing grass, herb, and shrub competition in the BC interior Douglas-fir zone—ten-year results","5690","Western Journal of Applied Forestry","167-176","","2005","","","defaultdict(<class 'list'>, {'U1': ['5690']})","Harper, G.; Comeau, P.; Biring, B.","20","http://www.ingentaconnect.com/content/saf/wjaf/2005/00000020/00000003/art00004","","0885-6095",""
"58","JOUR","A Grass Foraging Device for Captive Chimpanzees (Pan Troglodytes)","5893","Animal Welfare","13","24","1994","['ANIMAL WELFARE']","","defaultdict(<class 'list'>, {'U1': ['5893']})","Lambeth, S.P.; Bloomsmith, M.A.","3","http://www.ingentaconnect.com/content/ufaw/aw/1994/00000003/00000001/art00003","1","",""
"59","JOUR","A fish-passable barrier to stop the invasion of non-indigenous crayfish","5919","Biological Conservation","521","529","2012","","","defaultdict(<class 'list'>, {'U1': ['5919']})","Frings, R.M.; Vaeßen, S.C.K.; Groß, H.; Schüttrumpf , H.; Hollert, H.","159","","","",""
"60","JOUR","A multi-criteria evaluation of organic amendments used to transform an unproductive shrubland into a Mediterranean dehesa","6017","Journal of Environmental Management","446","456","2007","['Sewage sludge management']","","defaultdict(<class 'list'>, {'U1': ['6017']})","Tarrasón, D.; Ortiz, O.; Alcañiz, J.M.","82","http://www.sciencedirect.com/science/article/pii/S030147970600048X","4","0301-4797",""
"61","JOUR","A field experiment investigating the effects of olive husk and cow manure on heavy metal availability in a contaminated calcareous soil from Murcia (Spain)","6043","Agriculture, Ecosystems and Environment","319","326","2007","['Beta species']","","defaultdict(<class 'list'>, {'U1': ['6043']})","Clemente, R.; Paredes, C.; Bernal, M.P.","118","http://dx.doi.org/doi:10.1016/j.agee.2006.06.002","","",""
"62","JOUR","A case study of beef-cattle grazing in a Mediterranean-type woodland","6223","Agroforestry Systems","119","140","2000","","","defaultdict(<class 'list'>, {'U1': ['6223']})","Gutman, M.; Henkin, Z.; Holzer, Z.; Noy-Meir, I.; Seligman, N.G.","48","http://dx.doi.org/10.1023/A:1006366505905","2","1572-9680",""
"63","JOUR","A glut of gibbons in Sarawak – is rehabilitation the answer?","6345","Oryx","157-164","","1992","","","defaultdict(<class 'list'>, {'U1': ['6345']})","Bennett, J.","26","http://dx.doi.org/10.1017/S0030605300023590","","1365-3008",""
"64","JOUR","A functional trait approach to fen restoration analysis","6586","Applied Vegetation Science","658","666","2013","","","defaultdict(<class 'list'>, {'U1': ['6586']})","Hedberg, P.; Saetre, P.; Sundberg, S.; Rydin, H.; Kotowski, W.","16","http://dx.doi.org/10.1111/avsc.12042","","",""
"65","JOUR","A new approach for tracking vegetation change after restoration: a case study with peatlands","6610","Restoration Ecology","363","371","2013","","","defaultdict(<class 'list'>, {'U1': ['6610']})","Poulin, M.; Andersen, R.; Rochefort, L.","21","http://dx.doi.org/10.1111/j.1526-100X.2012.00889.x","","",""
"66","JOUR","A multidisciplinary evaluation of restoration measures in a degraded Cirsio-Molinietum fen meadow","6654","Applied Vegetation Science","115","130","1998","['Earnewâld']","","defaultdict(<class 'list'>, {'U1': ['6654']})","van Duren, I.C.; Strykstra, R.J.; Grootjans, A.P.; ter Heerdt, G.N.J.; Pegtel, D.M.","1","https://www.jstor.org/stable/1479090","","",""
"67","JOUR","A field assessment of the role of selective herbicides in the restoration of British moorland dominated by Molinia","6732","Biological Conservation","369-379","","2003","","","defaultdict(<class 'list'>, {'U1': ['6732']})","Milligan, A.L.; Putwain, P.D.; Marrs, R.H.","109","http://www.sciencedirect.com/science/article/pii/S0006320702001635","","0006-3207",""
"68","JOUR","A conservation trade-off? Interspecific differences in seahorse responses to experimental changes in fishing effort","7014","Aquatic Conservation: Marine and Freshwater Ecosystems","468","484","2007","","","defaultdict(<class 'list'>, {'U1': ['7014']})","Curtis, J.M.R.; Ribeiro, J.; Erzini, K.; Vincent, A.C.J.","17","http://doi.wiley.com/10.1002/aqc.798","5","10527613, 10990755",""
